company_name,quote_id,description,qty,unit_price
Municipio do Seixal,22290,Filtros MV/G4.445.622.44,2.0,11.5
Municipio do Seixal,22290,Filtros MV/G4.391.622.44,1.0,11.25
Municipio do Seixal,22290,Filtros F7.592.592.520.25.10,2.0,25.45
Municipio do Seixal,22290,Filtros F7.592.592.520.25.10,2.0,25.45
Municipio do Seixal,22290,Filtros MV/G4.448.448.48,2.0,10.25
Municipio do Seixal,22290,Filtros F7.490.392.520.25.8,2.0,22.95
Municipio do Seixal,22290,Filtros F7.490.392.520.25.8,2.0,22.95
valinox,18623,Filtros MV/G4.592.490.48,8.0,7.0
valinox,18623,Filtros MV/G4.490.592.48,6.0,7.0
valinox,18623,Filtros MV/M5.490.592.48,4.0,9.0
valinox,18623,Filtros F7/PL.490.592.96,9.0,42.5
valinox,18623,Filtros M6/PL.402.290.48,1.0,22.5
Aramus,18636,Filtros MV/G4.1110.450.90,6.0,15.5
Aramus,18636,Filtros MV/G4.1110.400.90,18.0,14.5
ATM,22265,Filtro MV/G4.485.420.48,1.0,8.5
ATM,22265,Filtro MV/G4.287.592.48,18.0,5.5
ATM,22265,Filtro MV/G4.592.592.48,54.0,7.5
ATM,22265,Filtro F7/RG.592.592.292,27.0,47.5
ATM,22265,Filtro F7/RG.592.287.292,9.0,31.5
ATM,22265,Filtros F7/PL.800.500.48,20.0,37.5
ATM,22265,Filtro MV/G4.500.800.48,20.0,10.5
ATM,22265,Filtro F7/PL.500.625.48,32.0,32.5
ATM,22265,Filtro MV/G4.625.500.48,32.0,7.5
ATM,22265,Filtro MV/G4.500.500.48,20.0,7.25
ATM,22265,Filtro MV/G4.500.500.48,2.0,7.25
ATM,22265,Filtro MV/G4.500.625.48,4.0,7.5
ATM,22265,Filtro MV/G4.760.540.48,2.0,11.5
Aramus,18583,Filtros MV/G4.592.592.48 ,4.0,8.5
Aramus,18583,Filtros MV/G4.592.592.48 ,4.0,8.5
Aramus,18583,Filtros F7.592.592.400.25.8,4.0,15.5
Aramus,18583,Filtros F7.592.592.400.25.8,4.0,15.5
ATM,22270,Filtros F7.792.392.535.25.8,6.0,27.5
ATM,22270,Filtros F9.792.392.535.25.10,4.0,32.5
ATM,22270,Filtros H14.513.513.66,1.0,125.0
ATM,22270,Filtros H14.762.762.66,2.0,195.0
Sotécnica,18634,Filtros M5/PL.780.820.55,6.0,64.5
Taguspark SA,18610,Diversos,1.0,419.5
C.TECCI,2207061721,UTAN 1 Filtro bolsa EP 50 1/2 592.300.25 mm 330 mm 2,2.0,12.5
C.TECCI,2207061721,UTAN 1 Pré-filtros metálico G2 592.592.48 mm 4,4.0,9.25
C.TECCI,2207061721,UTAN 1 Pré-filtros metálico G2 592.300.48 mm 2,2.0,6.5
C.TECCI,2207061721,UTAN 2 Filtro bolsa EP 50 1/1 592.592.25 mm 330 mm 2,2.0,15.5
C.TECCI,2207061721,UTAN 2 Filtro bolsa EP 50 1/2 592.287.25 mm 330 mm 2,2.0,12.5
C.TECCI,2207061721,UTAN 2 Filtro bolsa 320.287.25 mm 330 mm 1,1.0,12.95
C.TECCI,2207061721,UTAN 2 Filtro bolsa 320.287.25 mm 330 mm 1,1.0,12.95
C.TECCI,2207061721,UTAN 2 Pré-filtros metálico G2 592.592.48 mm 2,2.0,9.5
C.TECCI,2207061721,UTAN 2 Pré-filtros metálico G2 592.287.48 mm 2,2.0,6.5
C.TECCI,2207061721,UTAN 2 Pré-filtros metálico G2 880.287.48 mm 1,1.0,11.5
C.TECCI,2207061721,UTAN COZINHA Filtro bolsa EP 50 1/1 592.592.25 mm 330 mm 2,2.0,15.5
C.TECCI,2207061721,UTAN COZINHA Filtro bolsa EP 50 1/2 592.287.25 mm 330 mm 2,2.0,12.5
C.TECCI,2207061721,UTAN COZINHA Pré-filtros metálico G4 592.592.48 mm 2,2.0,9.5
C.TECCI,2207061721,UTAN COZINHA Pré-filtros metálico G4 592.287.48 mm 2,2.0,6.5
C.TECCI,2207061721,UTV 1 Filtro bolsa EP 50 1/1 592.592.25 mm 330 mm 2,2.0,15.5
C.TECCI,2207061721,UTV 1 Pré-filtros metálico G4 592.592.48 mm 2,2.0,9.5
C.TECCI,2207061721,UTAN 3 Pré-filtros metálico G4 592.592.48 mm 2,2.0,9.5
C.TECCI,2207061721,UTAN 3 Pré-filtros 592.287.48,2.0,6.5
ATM ,18577,Filtros RG/F9.592.287.292,10.0,35.5
ATM ,18577,Filtros RG/F9.592.592.292,15.0,49.95
ATM ,18577,Filtros F9.592.592.500.25.10,10.0,18.5
ATM ,18577,Filtros F7.592.592.550.25.8 ,15.0,14.5
ATM ,18577,Filtros F9.592.592.500.25.6,10.0,14.95
ATM ,18577,Filtros F9.287.592.500.25.3,10.0,10.5
ATM ,18577,Filtros F9.287.592.500.25.5,20.0,14.0
ATM ,18577,Filtros F9.592.437.500.25.5,10.0,14.0
ATM ,18577,Filtros F9.490.292.525.25.5,10.0,14.0
ATM ,18577,Filtros F9.592.287.500.25.8,10.0,15.5
ATM ,18577,Filtros F9.437.287.500.25.6,10.0,14.5
ATM ,18577,Filtros F9.437.592.500.25.10,10.0,19.5
ATM ,18577,Filtros F9.287.592.500.25.5,15.0,14.0
ATM ,18577,Filtros F7.287.592.520.25.5,15.0,14.0
ATM ,18577,Filtros F7.437.592.500.25.10,10.0,18.5
C.upK,2207291200,M5.490.490.46,2.0,11.5
C.upK,2207291200,F7.490.490.45,4.0,36.5
ANA,18455,Filtros MV/G4.800.445.98,20.0,11.5
ANA,18469,Filtros F7.592.592.300.25.6,18.0,12.99
ANA,18469,Filtros F7.287.592.300.25.3,9.0,9.5
Lennox,18559,Filtros MV/G4.625.500.48,16.0,7.5
Lennox,18559,Filtros MV/G4.500.500.48,16.0,7.15
JJTomé,22278,Filtros F7/PL.500.625.50,16.0,37.5
JJTomé,22278,Filtros F7/PL.500.800.50,10.0,42.5
JJTomé,22278,Filtros MV/G4.500.625.50,16.0,8.5
JJTomé,22278,Filtros MV/G4.500.800.50,10.0,10.5
JJTomé,22278,Filtros MV/G4.500.400.50,24.0,7.5
JJTomé,22278,Filtros MV/G4.500.500.50,16.0,8.25
ATM ,18601,Filtros MV/G4.592.592.48 ,2.0,8.25
ATM ,18601,Filtros MV/G4.592.287.48,1.0,6.5
ATM ,18601,Filtros MP/G4.592.592.25,34.0,8.35
ATM ,18601,Filtros MP/G4.592.287.25,6.0,6.6
ATM ,18601,Filtros F9.592.592.400.25.8,17.0,17.5
ATM ,18601,Filtros F9.287.592.400.25.4,3.0,12.5
ATM ,18601,Filtros MP/G2.1090.210.5,2.0,10.6
ATM ,18601,Filtros MP/G2.750.223.5,8.0,8.6
ATM ,18601,Filtros F7.592.592.500.25.10,4.0,19.5
ATM ,18601,Filtros F7.287.592.500.25.05,2.0,14.25
ATM ,18601,Filtros MP/G4.540.645.25,1.0,7.85
ATM ,18601,Filtros MV/G4.775.410.95,6.0,12.5
ProAir Industrial,18586,MV/G4.690.420.48,18.0,7.25
ATM,22267,MV/G4.592.592.45,186.0,7.75
ATM,22267,G3.592.592.600.25.4,135.0,14.5
ATM,22267,G4.592.287.600.25.4,88.0,14.4
ATM,22267,G4.592.592.600.25.4,264.0,14.5
ATM,22267,M5.592.287.600.25.4,88.0,14.05
ATM,22267,M5.592.592.600.25.6,336.0,14.5
Extragas Lda,18582,Filtros PL/F7.610.610.48.PVC,8.0,32.5
ATM ,18576,Conforme Lista Anexa,1.0,2133.25
Turbogas,18578,Rolos G4 Azul/Branco 20.2 mts,8.0,120.0
Extragas,18575,Filtros F7.592.592.535.25.6,4.0,15.5
Extragas,18575,Filtros F7.592.435.535.25.6,3.0,15.5
Extragas,18575,Filtros F7.287.592.535.25.3,5.0,12.5
Extragas,18575,Filtros F7.287.435.535.25.3,3.0,12.5
Extragas,18575,Filtros F7.287.287.535.25.3,3.0,11.5
Extragas,18575,Filtros MV/G4.445.550.97,12.0,9.95
Extragas,18575,Filtros MV/G4.465.550.97,12.0,9.95
Extragas,18575,Filtros MV/G4.745.460.97,12.0,12.5
ANA,18518,Filtros M5.392.792.500.25.6,48.0,22.5
ANA,18518,Filtros F7.392.792.635.25.4,48.0,21.5
Lennox,18616,Filtros G4.592.592.360.25.4,12.0,11.5
Lennox,18616,Filtros G4.592.287.360.25.4,6.0,10.5
Lennox,18616,Filtros G4.892.490.360.25.6,1.0,14.5
ATM,22276,Filtros F7.592.592.380.25.8,54.0,14.25
ATM,22276,Filtros F7.287.592.380.25.4,13.0,11.95
ATM,22276,Filtros F7.592.287.380.25.8,18.0,15.5
ATM,22276,Filtros M5.592.592.380.25.6,114.0,14.0
ATM,22276,Filtros M5.287.592.380.25.3,26.0,11.95
ATM,22276,Filtros M5.592.287.380.25.6,42.0,14.5
ATM,22276,Filtros M5.287.287.380.25.3,6.0,12.5
ATM,22276,Filtros F7.287.287.380.25.3,3.0,12.5
ATM,22276,Filtros F7/RG.592.287.292,3.0,38.5
ATM,22276,Filtros F7/RG.592.592.292,6.0,57.5
ATM,18511,Filtros MV/G4.592.592.45,80.0,7.5
Engie,18559,Filtros F7.592.592.330.25.7,9.0,14.5
Engie,18559,Filtros G4.592.592.360.25.4,9.0,11.5
Auchan,22285,Filtros MV/G4.592.592.48,3.0,7.5
Auchan,22285,Filtros F9/RG.592.592.292,3.0,48.5
Auchan,22285,Filtros MV/G4.625.500.48,120.0,7.25
Auchan,22285,Filtros F7/PL.625.500.98,60.0,42.5
Auchan,22285,Filtros M6/PL.490.592.96,2.0,44.5
Auchan,22285,Filtros M6/PL.592.592.96,2.0,45.5
Auchan,22285,Filtros F9/RG.592.287.292,1.0,32.5
Auchan,22285,Filtros MCA.287.592.48,1.0,24.5
IKEA Loulé,22264,M6/PL.287.592.48,41.0,15.5
IKEA Loulé,22264,M6/PL.592.592.48,59.0,25.5
IKEA Loulé,22264,F7.287.592.380.25.3,37.0,10.5
IKEA Loulé,22264,F7.592.592.380.25.6,77.0,14.5
IKEA Loulé,22264,MV/G4.287.592.48,37.0,5.5
IKEA Loulé,22264,MV/G4.592.592.48,79.0,6.955
ATM ,18567,Filtros G3.592.592.600.25.4,175.0,12.99
ATM ,18567,Filtros MV/G4.592.592.45,140.0,7.5
ATM ,18567,Filtros M5.592.592.600.25.6,90.0,14.75
ATM ,18571,Filtros M5.592.592.600.25.6,96.0,14.75
ATM ,18571,Filtros G4.592.592.600.25.4,96.0,12.99
ATM ,18571,Filtros G4.592.287.600.25.4,32.0,12.95
ATM ,18571,Filtros M5.592.287.600.25.4,32.0,14.5
C.Sotecnica,2207251735,1000.370.100,40.0,11.5
C.Sotecnica,2207251735,390.390.45,2.0,6.5
C.Sotecnica,2207251735,287.287.23,2.0,5.5
C.Sotecnica,2207251735,1185.285.20,2.0,10.5
C.Sotecnica,2207251735,110.320.10,2.0,10.5
C.Sotecnica,2207251735,115.325.10,2.0,10.5
C.Sotecnica,2207251735,900.225.12,2.0,7.0
C.Sotecnica,2207251735,1320.320.45,1.0,12.0
C.Sotecnica,2207251735,953.248.15,2.0,7.0
C.Sotecnica,2207251735,1063.293.15,2.0,8.0
C.Sotecnica,2207251735,418.303.15,3.0,5.0
C.Sotecnica,2207251735,637.245.20,2.0,6.0
C.Sotecnica,2207251735,1260.257.20,2.0,7.0
C.Sotecnica,2207251735,945.260.20,2.0,7.0
C.Sotecnica,2207251735,323.323.15,2.0,5.0
C.Sotecnica,2207251735,1185.260.15,2.0,7.0
C.Sotecnica,2207251735,210.260.40 ,2.0,5.0
Sotécnica,18630,MP/G4.210.1490.3,10.0,14.5
Sotécnica,18630,MP/G4.210.1190.3,10.0,12.5
Sotécnica,18630,MP/G4.210.1040.3,10.0,11.5
Sotécnica,18630,MP/G4.210.740.3,10.0,9.5
Sotécnica,18630,MP/G4.210.440.3,10.0,7.5
Sotécnica,18630,Rolos G4 20.2 mts,2.0,130.0
Frostline,22275,Filtros MV/G4.785.385.98,1.0,12.75
Frostline,22275,Filtros MV/G4.790.390.48,1.0,10.5
Frostline,22275,Filtros F7.790.390.250.25.12,1.0,27.5
Frostline,22275,Filtros MV/G4.592.287.48,1.0,6.5
Frostline,22275,Filtros F7.592.287.320.25.10,1.0,25.5
Frostline,22275,Filtros MV/G4.592.592.48,2.0,8.5
Frostline,22275,Filtros F7.592.592.300.25.6,2.0,14.5
Frostline,22275,Filtros MV/G4.450.330.98,1.0,9.5
Frostline,22275,Filtros F7/PL.450.330.98,1.0,32.5
Frostline,22275,Filtros MV/G4.395.390.48,2.0,7.5
Frostline,22275,Filtros F7.395.390.350.25.6,2.0,15.5
Frostline,22275,Filtros MV/G4.790.390.48,1.0,10.5
Frostline,22275,Filtros F7.790.390.350.25.12,1.0,27.75
Frostline,22274,Filtros MP/G4.610.610.28,4.0,8.25
Frostline,22274,Filtros MP/G4.1030.520.20,1.0,12.75
Frostline,22274,Filtros F7/PL.610.610.48,4.0,37.5
Frostline,22274,Filtros MP/G4.610.610.25,4.0,7.95
Frostline,22274,Filtros MP/G4.1030.520.20,1.0,12.75
Frostline,22274,Filtros F7/PL.610.610.48,4.0,37.5
Frostline,22274,Filtros MP/G4.610.610.25,4.0,7.95
Frostline,22274,Filtros MP/G4.1030.520.20,1.0,12.75
Frostline,22274,Filtros F7/PL.610.610.48,4.0,37.5
Frostline,22274,Filtros MP/G4.610.450.20,4.0,7.95
Frostline,22274,Filtros M5.335.335.400.20.4,1.0,15.5
Frostline,22274,Filtros M5.535.535.600.20.10,1.0,21.5
ATM,18466,Filtros G3.592.592.600.25.4,70.0,12.5
ATM,18466,Filtros MV/G4.592.592.45,70.0,7.5
ATM,18466,Filtros M5.592.592.600.25.6,70.0,14.5
ATM ,18606,Filtros MV/G4.592.592.45,30.0,8.5
ATM ,18606,Filtros MV/G4.287.592.45,10.0,6.5
ATM ,18606,Filtros M6.492.592.380.25.8,12.0,14.75
ATM ,18606,Filtros MV/G4.540.475.45,5.0,8.0
Race,18622,Filtros MV/G4.580.280.98,2.0,8.0
Race,18622,Filtros MV/G4.580.580.98,2.0,10.5
Race,18622,Filtros F7/RG.592.287.292,12.0,52.5
Race,18622,Filtros F7/RG.592.592.292,40.0,37.5
Race,18622,Filtros MV/G4.490.490.48,1.0,7.0
Race,18622,Filtros MV/G4.592.592.48,40.0,7.5
Race,18622,Filtros MV/G4.287.592.48,12.0,6.0
Race,18622,Filtros MV/M5.490.490.48,1.0,9.0
Race,18622,Filtros F7/PL.592.592.48,2.0,27.5
Race,18622,Filtros F7/PL.287.592.48,2.0,19.5
Theedgegroup,18593,Filtros MV/G4.710.335.48,6.0,19.5
KMG,18458,Filtros MV/G4.495.490.45,1.0,7.25
KMG,18458,Filtros MV/G4.495.390.45,7.0,6.75
KMG,18458,Filtros MV/G4.592.592.45,6.0,7.5
KMG,18458,Filtros M6.592.592.360.25.6,3.0,14.25
KMG,18458,Filtros M6.592.490.360.25.5,3.0,12.95
KMG,18458,Filtros M6.287.490.360.25.3,1.0,11.95
Auchan Amadora,22292,Filtros F7/RG.490.592.292,7.0,49.5
Auchan Amadora,22292,Filtros MP/G4.300.300.20,1.0,6.8
Auchan Amadora,22292,Filtros MV/G4.592.287.98,1.0,12.5
Auchan Amadora,22292,Filtros MV/G4.592.592.48,60.0,8.5
Auchan Amadora,22292,Filtros MP/G4.960.263.20,1.0,9.5
Auchan Amadora,22292,Filtros MV/G4.625.400.45,6.0,7.95
Auchan Amadora,22292,Filtros MV/G4.592.287.48,20.0,6.5
Auchan Amadora,22292,Filtros MP/G4.450.440.20,2.0,7.15
Auchan Amadora,22292,Filtros F7/RG.592.592.292,35.0,52.5
TECCI,22281,Filtros MV/G4.540.475.48,2.0,8.5
TECCI,22281,Filtro F7/PL.540.475.48,1.0,34.5
TECCI,22281,Filtros MV/G4.287.287.48,2.0,5.5
TECCI,22281,Filtros MV/G4.395.395.48,1.0,7.25
TECCI,22281,Filtros MV/G4.490.490.48,1.0,7.5
TECCI,22281,Filtros F7/PL.287.287.48,2.0,12.5
TECCI,22281,Filtros F7/PL.395.395.48,1.0,17.5
TECCI,22281,Filtros F7/PL.490.490.48,1.0,21.5
TECCI,22281,Filtros F7/PL.625.500.48,24.0,35.5
Macrisan,18629,Cilindros CA 160.400,15.0,32.5
ATM,18603,Filtros G4.592.592.360.25.4,32.0,11.5
ATM,18603,Filtros G4.592.892.360.25.6,16.0,14.0
ATM,18603,Filtros F7.592.592.360.25.8,16.0,15.5
ATM,18603,Filtros F7.592.892.380.25.6,8.0,25.5
ATM,18603,Filtros F7.287.892.380.25.12,2.0,14.99
ATM,18603,Filtros F7.592.892.380.25.12,4.0,32.5
ATM,18603,Filtros F7.592.592.380.25.12,1.0,20.5
ATM,18603,Filtros F7/PL.430.490.96,1.0,48.5
ATM,18603,Filtros MV/G4.430.490.48,1.0,8.5
ATM,18603,Rolo manta G4 . 20.2 mts,1.0,110.0
Race,18596,Filtros F7.592.592.300.25.8,18.0,14.0
ATM,18602,Filtros G4.592.892.360.25.4,24.0,14.99
ATM,18602,Filtros F7.592.892.380.25.6,12.0,24.99
TRM,22282,MV/G4.592.592.48,6.0,8.5
TRM,22282,F7.592.592.500.25.6,6.0,17.5
TRM,22282,MV/G4.287.592.48,2.0,6.5
TRM,22282,MV/G4.592.592.48,4.0,8.5
TRM,22282,MV/G4.287.592.48,1.0,6.5
TRM,22282,MV/G4.592.592.48,1.0,8.5
TRM,22282,TPCGALV.592.592.47,2.0,18.5
TRM,22282,F7.592.592.24,2.0,32.5
TRM,22282,Cilindros CA,13.0,62.5
Certifiltra,18614,Filtro F9/RG.592.592.292,1.0,57.5
Certifiltra,18614,Filtro F9/RG.592.287.292,1.0,42.5
Certifiltra,18614,Filtro M6/PL.592.287.48,1.0,25.5
Certifiltra,18614,Filtro M6/PL.592.592.48,1.0,32.5
Faclima,18591,Filtros MP/G3.(1095.185.15)/2,1.0,12.5
Faclima,18591,Filtros MP/G3.(895.185.15)/2,9.0,10.5
Faclima,18591,Filtros MP/G3.(695.185.15)/2,10.0,9.5
Auchan,18626,Filtros F7.592.592.550.25.8,102.0,15.5
Auchan,18626,Filtros.F7.287.592.550.25.4,10.0,12.5
Auchan,18626,Filtros MV/G4.592.592.45,66.0,8.0
Auchan,18626,Filtros MV/G4.287.592.45,12.0,6.5
C.Aramus,220608,1300x180x10,40.0,7.15
C.Aramus,220608,1060x190x10,45.0,6.9
C.Aramus,220608,1255x190x10,25.0,7.05
C.Aramus,220608,1455x190x10,15.0,7.5
C.Aramus,220608,1190x250x20,11.0,6.99
C.Aramus,220608,1085x230x3,1.0,10.5
C.Aramus,220608,960x200x10,1.0,9.5
C.Aramus,220608,1665x190x10,1.0,17.5
Granjair,18624,Filtros F7.490.390.500.25.4,12.0,14.5
Granjair,18624,Filtros F7.490.740.500.25.4,6.0,24.5
Granjair,18624,Filtros F7.740.370.600.25.6,2.0,17.5
Granjair,18624,Filtros F7.592.592.550.25.8,12.0,15.5
Race,18557,Filtros M5.592.592.360.25.6 ,55.0,12.5
Race,18557,Filtros M5.287.592.360.25.3 ,39.0,9.9
Race,18557,Filtros F7.592.592.635.25.7,29.0,15.5
Race,18557,Filtros F7.287.592.635.25.4,18.0,12.0
