company_name,quote_id,description,qty,unit_price,filter_efficiency,dimensions,item_type,Length,Height,Gutter,Depth,Pockets
A Preditiva,17171.0,Filtros MV/G4.625.500.50,36.0,7.5,G4,625.500.50,Filtro,625.0,500.0,50.0,,
A Preditiva,17171.0,Filtros F7/PL.625.500.50,36.0,27.5,F7,625.500.50,Filtro,625.0,500.0,50.0,,
A Preditiva,17175.0,Filtros F7/PL.592.490.48,16.0,28.5,F7,592.490.48,Filtro,592.0,490.0,48.0,,
A Preditiva,18643.0,Filtros F7/PL.592.592.45,9.0,27.5,F7,592.592.45,Filtro,592.0,592.0,45.0,,
A Preditiva,18643.0,Filtros F7/PL.287.592.45,3.0,17.5,F7,287.592.45,Filtro,287.0,592.0,45.0,,
A Preditiva,18643.0,Filtros F7/PL.592.490.48,12.0,25.5,F7,592.490.48,Filtro,592.0,490.0,48.0,,
A Preditiva,18643.0,Filtros MV/G4.490.592.48,12.0,7.5,G4,490.592.48,Filtro,490.0,592.0,48.0,,
A Preditiva,18643.0,Filtros MV/G4.592.490.48,24.0,7.5,G4,592.490.48,Filtro,592.0,490.0,48.0,,
A Preditiva,18674.0,Filtros F7.592.592.380.25.7,42.0,14.0,F7,592.592.380.25.7,Filtro,592.0,592.0,25.0,380.0,7.0
A Preditiva,18674.0,Filtros F7.287.592.380.25.4,21.0,11.5,F7,287.592.380.25.4,Filtro,287.0,592.0,25.0,380.0,4.0
A Preditiva,18691.0,Filtros F7/PL.800.500.48,8.0,37.5,F7,800.500.48,Filtro,800.0,500.0,48.0,,
A Preditiva,18691.0,Filtros F7/PL.625.500.48,1.0,27.5,F7,625.500.48,Filtro,625.0,500.0,48.0,,
A Preditiva,18691.0,Filtros MV/G4.800.500.48,5.0,8.95,G4,800.500.48,Filtro,800.0,500.0,48.0,,
A Preditiva,18691.0,Filtros MV/G4.500.400.48,12.0,6.5,G4,500.400.48,Filtro,500.0,400.0,48.0,,
A Preditiva,18691.0,Filtros MV/G4.500.500.48,8.0,6.75,G4,500.500.48,Filtro,500.0,500.0,48.0,,
A Preditiva,18697.0,Filtros MV/G4.435.480.50,1.0,6.5,G4,435.480.50,Filtro,435.0,480.0,50.0,,
