dimensions	qtd	punit
G2.675.200.20   2   5.5
G4.480.757.48   4   10.5
G4.480.420.48 1 7.8
G4.490.490.45 4 7.5
G4.490.592.48 38 7.75
G4.500.625.48 4 7.75
G4.535.470.45 1 7.25
G4.590.520.98 2 12.5
G4.590.800.48 2 12.5
G4.592.592.48 1 8.5
G4.645.470.45 2 8.5
G4.690.370.35 4 7.75
G4.800.590.48 1 9.9
G4.920.865.48 1 14.5
G4.940.470.48 2 11.5
G4.960.260.10 1 6.5
G7.435.287.360.4.20 1 14.5
G7.592.435.360.5.20 1 15.5
M5.370.120.46 6 5.5
M5.392.797.500.4.20 8 18.5
M5.490.490.500.6.20 4 15.5
F7.490.592.96 18 42.5
F7.500.530.98 6 42.5
G4.490.592.50 18 7.75
G4.500.530.48 6 7.75
G4.625.500.45 4 8.5
G4.625.510.48 3 8.5
