dimensions	qtd	punit
UTAN 1 Filtro bolsa EP 50 1/2 592.300.25 mm 330 mm 2	2	12.5
UTAN 1 Pré-filtros metálico G2 592.592.48 mm 4	4	9.25
UTAN 1 Pré-filtros metálico G2 592.300.48 mm 2	2	6.5
UTAN 2 Filtro bolsa EP 50 1/1 592.592.25 mm 330 mm 2	2	15.5
UTAN 2 Filtro bolsa EP 50 1/2 592.287.25 mm 330 mm 2	2	12.5
UTAN 2 Filtro bolsa 320.287.25 mm 330 mm 1	1	12.95
UTAN 2 Filtro bolsa 320.287.25 mm 330 mm 1	1	12.95
UTAN 2 Pré-filtros metálico G2 592.592.48 mm 2	2	9.5
UTAN 2 Pré-filtros metálico G2 592.287.48 mm 2	2	6.5
UTAN 2 Pré-filtros metálico G2 880.287.48 mm 1	1	11.5
UTAN COZINHA Filtro bolsa EP 50 1/1 592.592.25 mm 330 mm 2	2	15.5
UTAN COZINHA Filtro bolsa EP 50 1/2 592.287.25 mm 330 mm 2	2	12.5
UTAN COZINHA Pré-filtros metálico G4 592.592.48 mm 2	2	9.5
UTAN COZINHA Pré-filtros metálico G4 592.287.48 mm 2	2	6.5
UTV 1 Filtro bolsa EP 50 1/1 592.592.25 mm 330 mm 2	2	15.5
UTV 1 Pré-filtros metálico G4 592.592.48 mm 2	2	9.5
UTAN 3 Pré-filtros metálico G4 592.592.48 mm 2	2	9.5
UTAN 3 Pré-filtros 592.287.48	2	6.5
