dimensions	qtd	punit
Filtros RG/F9.592.592.292	11	49.5
Filtros MV/G4.287.592.48 	2	5.5
Filtros MV/G4.592.592.48 	8	7
Filtros F9.592.592.600.25.8	1	15.5
Filtros F9.592.287.600.25.8	1	15.25
Filtros F8.592.287.500.25.4	2	14.5
Filtros F7.287.592.533.25.4	1	11.5
Filtros M5.592.592.533.25.8	10	14.8
Filtros MV/M5.305.305.48	10	6.5
Filtros MV/M5.305.610.48	10	7
Filtros MV/G4.220.592.48	4	5.9
Filtros AR/G2.950.250.5	2	6
Filtros AR/G2.1130.200.5	2	7
Filtros AR/G2.1180.230.5	2	7.2
Filtros AR/G2.1180.330.5	2	8
Filtros MP/G2.560.330.10	2	5.8
Filtros AR/G2.1200.240.5	2	9
Filtros AR/G2.1020.205.5	5	7
Filtros AR/G2.1215.205.5	2	7.1
Filtros AR/G2.1200.240.5	2	9
Filtros AR/G2.1030.205.5	10	7
Filtros AR/G2.650.205.5	3	6
Filtros AR/G2.845.200.5	2	6.9
