dimensions	qtd	punit
12	FILTRO G2 - 675X200X20MM 	UNI	2	5.5
13	FILTRO G4 - 460X745X48MM 	UNI	4	10.5
14	FILTRO G4 - 480X420X48MM 	UNI	1	7.8
15	FILTRO G4 - 490X490X45MM 	UNI	4	7.5
16	FILTRO G4 - 490X592X48 	UNI	38	7.75
17	FILTRO G4 - 500X625X48 	UNI	4	7.75
18	FILTRO G4 - 535X470X45MM	UNI	1	7.25
19	FILTRO G4 - 590X520X98 	UNI	2	12.5
20	FILTRO G4 - 590X800X48MM 	UNI	2	12.5
21	FILTRO G4 - 592X592X48MM 	UNI	1	8.5
22	FILTRO G4 - 645X470X45MM 	UNI	2	8.5
23	FILTRO G4 - 690X370X35MM 	UNI	4	7.75
24	FILTRO G4 - 800X590X48MM 	UNI	1	9.9
25	FILTRO G4 - 920X865X48MM 	UNI	1	14.5
26	FILTRO G4 - 940X470X48MM 	UNI	2	11.5
27	FILTRO G4 - 960X260X10MM 	UNI	1	6.5
28	FILTRO G7 4 BOLSAS - 435X287X360X20MM 	UNI	1	14.5
29	FILTRO G7 5 BOLSAS - 592X435X360X20MM 	UNI	1	15.5
30	FILTRO M5 - 370X120X46MM 	UNI	6	5.5
31	FILTRO M5 4 BOLSAS - 392X792X500X20MM 	UNI	8	18.5
32	FILTRO M5 6 BOLSAS - 490X490X500X20MM 	UNI	4	15.5
33	FILTRO F7 - 490X592X96MM 	UNI	18	42.5
34	FILTRO F7 - 500X530X98MM	UNI	6	42.5
35	FILTRO G4 - 490X592X50MM 	UNI	18	7.75
36	FILTRO G4 - 500X530X48MM 	UNI	6	7.75
37	FILTRO G4 - 625x500x45mm 	UNI	4	8.5
38	FILTRO G4 - 625X510X48MM 	UNI	3	8.5
