dimensions	qtd	punit
      1000x370x100                                                             40 un	40	11.5	=C15*D15
      390x390x45                                                                  2 un	2	6.5	=C16*D16
      287x287x23                                                                  2 un	2	5.5	=C17*D17
      1185x285x20                                                               2 un	2	10.5	=C18*D18
      110x320x10                                                                  2 un	2	10.5	=C19*D19
      115x325x10                                                                  2 un	2	10.5	=C20*D20
      900x225x12                                                                  2 un	2	7	=C21*D21
      1320x320x45 (com pega nos 1320)                        1 un	1	12	=C22*D22
      953x248x15                                                                  2 un	2	7	=C23*D23
      1063x293x15                                                               2 un	2	8	=C24*D24
      418x303x15                                                                  3 un	3	5	=C25*D25
      637x245x20                                                                  2 un	2	6	=C26*D26
      1260x257x20                                                               2 un	2	7	=C27*D27
      945x260x20                                                                  2 un	2	7	=C28*D28
      323x323x15                                                                  2 un	2	5	=C29*D29
      1185x260x15                                                               2 un	2	7	=C30*D30
      210x260x40                                                                  2 un	2	5	=C31*D31
=SUM(C4:C31)	=SUM(E4:E31)
