dimensions	qtd	punit
Filtros F7.592.592.550.25.8 	20	14.5
Filtros F7.490.742.500.25.6	9	24.5
Filtros PL/F7.580.430.45	4	29.5
Filtros MV/G4.508.381.48	6	6.5
Filtros F7.490.592.500.25.6	8	14.5
Filtros MV/G4.610.508.48	4	7.25
Filtros MV/G4.508.508.48	4	6.95
Filtros F7.592.490.500.25.8	10	15.5
Filtros F7.592.287.500.25.8	6	15.5
Filtros MV/G4.635.406.48	6	6.95
Filtros MV/G4.635.406.48	3	6.95
Filtros MV/G4.435.620.48	10	6.95
Filtros PL/F7.625.500.45	1	31.5
Filtros MV/G4.625.500.45	1	7.5
Filtros MV/G4.508.406.48	4	6.5
Filtros MV/G4.241.495.45	2	5.5
Filtros F7.490.490.500.25.6	10	14.5
Filtros MV/G4.480.420.48	1	6.5
Filtros M5.485.423.500.25.5	1	15.5
