company_name,quote_id,description,qty,unit_price,filter_efficiency,dimensions,item_type,Length,Height,Gutter,Depth,Pockets,Date
A Preditiva,17171.0,Filtros MV/G4.625.500.50,36.0,7.5,G4,625.500.50,standard_filter,625.0,500.0,50.0,,,2017-12-11 18:11:37
A Preditiva,17171.0,Filtros F7/PL.625.500.50,36.0,27.5,F7,625.500.50,standard_filter,625.0,500.0,50.0,,,2017-12-11 18:11:37
A Preditiva,17175.0,Filtros F7/PL.592.490.48,16.0,28.5,F7,592.490.48,standard_filter,592.0,490.0,48.0,,,2017-12-14 17:58:47
A Preditiva,18643.0,Filtros F7/PL.592.592.45,9.0,27.5,F7,592.592.45,standard_filter,592.0,592.0,45.0,,,2018-09-17 17:06:28
A Preditiva,18643.0,Filtros F7/PL.287.592.45,3.0,17.5,F7,287.592.45,standard_filter,287.0,592.0,45.0,,,2018-09-17 17:06:28
A Preditiva,18643.0,Filtros F7/PL.592.490.48,12.0,25.5,F7,592.490.48,standard_filter,592.0,490.0,48.0,,,2018-09-17 17:06:28
A Preditiva,18643.0,Filtros MV/G4.490.592.48,12.0,7.5,G4,490.592.48,standard_filter,490.0,592.0,48.0,,,2018-09-17 17:06:28
A Preditiva,18643.0,Filtros MV/G4.592.490.48,24.0,7.5,G4,592.490.48,standard_filter,592.0,490.0,48.0,,,2018-09-17 17:06:28
A Preditiva,18691.0,Filtros F7/PL.800.500.48,8.0,37.5,F7,800.500.48,standard_filter,800.0,500.0,48.0,,,2018-10-18 16:37:59
A Preditiva,18691.0,Filtros F7/PL.625.500.48,1.0,27.5,F7,625.500.48,standard_filter,625.0,500.0,48.0,,,2018-10-18 16:37:59
A Preditiva,18691.0,Filtros MV/G4.800.500.48,5.0,8.95,G4,800.500.48,standard_filter,800.0,500.0,48.0,,,2018-10-18 16:37:59
A Preditiva,18691.0,Filtros MV/G4.500.400.48,12.0,6.5,G4,500.400.48,standard_filter,500.0,400.0,48.0,,,2018-10-18 16:37:59
A Preditiva,18691.0,Filtros MV/G4.500.500.48,8.0,6.75,G4,500.500.48,standard_filter,500.0,500.0,48.0,,,2018-10-18 16:37:59
A Preditiva,18697.0,Filtros MV/G4.435.480.50,1.0,6.5,G4,435.480.50,standard_filter,435.0,480.0,50.0,,,2018-10-20 08:34:34
A Preditiva,18697.0,Filtros MV/G4.500.530.50,24.0,6.75,G4,500.530.50,standard_filter,500.0,530.0,50.0,,,2018-10-20 08:34:34
A Preditiva,18698.0,Filtros MV/G4.800.500.50,8.0,8.95,G4,800.500.50,standard_filter,800.0,500.0,50.0,,,2018-10-22 08:04:30
A Preditiva,18698.0,Filtros MV/G4.530.500.50,6.0,6.95,G4,530.500.50,standard_filter,530.0,500.0,50.0,,,2018-10-22 08:04:30
A Preditiva,18722.0,Filtro MV/G4.438.480.50,1.0,6.5,G4,438.480.50,standard_filter,438.0,480.0,50.0,,,2018-10-30 20:26:13
A Preditiva,18722.0,Filtros MV/G4.500.530.50,24.0,6.75,G4,500.530.50,standard_filter,500.0,530.0,50.0,,,2018-10-30 20:26:13
AIRTEAM,18755.0,Filtros MV/G4.592.592.48,46.0,8.5,G4,592.592.48,standard_filter,592.0,592.0,48.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.592.287.48,12.0,7.5,G4,592.287.48,standard_filter,592.0,287.0,48.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.287.592.48,4.0,7.5,G4,287.592.48,standard_filter,287.0,592.0,48.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.392.792.48,4.0,11.5,G4,392.792.48,standard_filter,392.0,792.0,48.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.592.592.98,46.0,12.5,G4,592.592.98,standard_filter,592.0,592.0,98.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.592.287.98,12.0,10.5,G4,592.287.98,standard_filter,592.0,287.0,98.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.287.592.98,4.0,10.5,G4,287.592.98,standard_filter,287.0,592.0,98.0,,,2018-11-22 03:55:31
AIRTEAM,18755.0,Filtros MV/G4.392.792.98,4.0,14.5,G4,392.792.98,standard_filter,392.0,792.0,98.0,,,2018-11-22 03:55:31
ANA,17085.0,Filtros F7/RG 592.592.292,12.0,55.5,F7,592.592.292,standard_filter,592.0,592.0,292.0,,,2017-09-18 12:16:21
ANA,17106.0,Filtros MV/G4 592.592.48,6.0,8.0,G4,592.592.48,standard_filter,592.0,592.0,48.0,,,2017-10-15 22:44:30
ANA,17106.0,Filtros MV/G4 592.592.48,2.0,8.0,G4,592.592.48,standard_filter,592.0,592.0,48.0,,,2017-10-15 22:44:30
ANA,17106.0,Filtros MV/G4 287.592.48,2.0,6.0,G4,287.592.48,standard_filter,287.0,592.0,48.0,,,2017-10-15 22:44:30
ANA,17112.0,Filtros F7/PL 580.430.48,4.0,45.5,F7,580.430.48,standard_filter,580.0,430.0,48.0,,,2017-10-18 14:37:48
ANA,17116.0,Filtros MV/G4 535.473.48,3.0,8.5,G4,535.473.48,standard_filter,535.0,473.0,48.0,,,2017-10-20 17:07:49
ANA,17144.0,Filtros MP/G4 222.893.10,70.0,5.75,G4,222.893.10,standard_filter,222.0,893.0,10.0,,,2017-11-20 20:57:34
ANA,17144.0,Filtros MP/G4 222.1193.10,30.0,5.95,G4,222.1193.10,standard_filter,222.0,1193.0,10.0,,,2017-11-20 20:57:34
ANA,17144.0,Filtros MP/G4 222.1134.10,30.0,5.85,G4,222.1134.10,standard_filter,222.0,1134.0,10.0,,,2017-11-20 20:57:34
ANA,17157.0,Filtros MP/CA 490.490.22,6.0,15.5,,490.490.22,standard_filter,490.0,490.0,22.0,,,2017-12-07 15:32:47
ANA,17157.0,Filtros MV/G2 490.490.45,4.0,7.5,G2,490.490.45,standard_filter,490.0,490.0,45.0,,,2017-12-07 15:32:47
ANA,17157.0,Filtros MV/G4 490.490.45,4.0,7.5,G4,490.490.45,standard_filter,490.0,490.0,45.0,,,2017-12-07 15:32:47
ANA,17158.0,Filtros MP/CA 490.490.22,24.0,14.5,,490.490.22,standard_filter,490.0,490.0,22.0,,,2017-12-07 15:52:16
