qty,unit_price,Length,Height,Gutter,_F7,_F8,_F9,_G2,_G3,_G4,_H13,_H14,_M5,_M6
36.0,7.5,625.0,500.0,50.0,0,0,0,0,0,1,0,0,0,0
36.0,27.5,625.0,500.0,50.0,1,0,0,0,0,0,0,0,0,0
16.0,28.5,592.0,490.0,48.0,1,0,0,0,0,0,0,0,0,0
9.0,27.5,592.0,592.0,45.0,1,0,0,0,0,0,0,0,0,0
3.0,17.5,287.0,592.0,45.0,1,0,0,0,0,0,0,0,0,0
12.0,25.5,592.0,490.0,48.0,1,0,0,0,0,0,0,0,0,0
12.0,7.5,490.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
24.0,7.5,592.0,490.0,48.0,0,0,0,0,0,1,0,0,0,0
42.0,14.0,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
21.0,11.5,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
8.0,37.5,800.0,500.0,48.0,1,0,0,0,0,0,0,0,0,0
1.0,27.5,625.0,500.0,48.0,1,0,0,0,0,0,0,0,0,0
5.0,8.95,800.0,500.0,48.0,0,0,0,0,0,1,0,0,0,0
12.0,6.5,500.0,400.0,48.0,0,0,0,0,0,1,0,0,0,0
8.0,6.75,500.0,500.0,48.0,0,0,0,0,0,1,0,0,0,0
1.0,6.5,435.0,480.0,50.0,0,0,0,0,0,1,0,0,0,0
24.0,6.75,500.0,530.0,50.0,0,0,0,0,0,1,0,0,0,0
8.0,8.95,800.0,500.0,50.0,0,0,0,0,0,1,0,0,0,0
6.0,6.95,530.0,500.0,50.0,0,0,0,0,0,1,0,0,0,0
1.0,6.5,438.0,480.0,50.0,0,0,0,0,0,1,0,0,0,0
24.0,6.75,500.0,530.0,50.0,0,0,0,0,0,1,0,0,0,0
46.0,8.5,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
12.0,7.5,592.0,287.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,7.5,287.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,11.5,392.0,792.0,48.0,0,0,0,0,0,1,0,0,0,0
46.0,12.5,592.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
12.0,10.5,592.0,287.0,98.0,0,0,0,0,0,1,0,0,0,0
4.0,10.5,287.0,592.0,98.0,0,0,0,0,0,1,0,0,0,0
4.0,14.5,392.0,792.0,98.0,0,0,0,0,0,1,0,0,0,0
46.0,17.5,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
12.0,17.5,592.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
4.0,12.95,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
4.0,22.5,392.0,792.0,25.0,1,0,0,0,0,0,0,0,0,0
12.0,55.5,592.0,592.0,292.0,1,0,0,0,0,0,0,0,0,0
2.0,20.5,892.0,287.0,25.0,1,0,0,0,0,0,0,0,0,0
30.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
18.0,11.0,287.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
26.0,24.5,392.0,792.0,25.0,0,0,0,0,0,0,0,0,1,0
16.0,14.0,387.0,387.0,25.0,1,0,0,0,0,0,0,0,0,0
6.0,8.0,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
2.0,8.0,592.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
2.0,6.0,287.0,592.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,45.5,580.0,430.0,48.0,1,0,0,0,0,0,0,0,0,0
12.0,15.5,490.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
3.0,8.5,535.0,473.0,48.0,0,0,0,0,0,1,0,0,0,0
4.0,16.0,440.0,515.0,25.0,1,0,0,0,0,0,0,0,0,0
70.0,5.75,222.0,893.0,10.0,0,0,0,0,0,1,0,0,0,0
30.0,5.95,222.0,1193.0,10.0,0,0,0,0,0,1,0,0,0,0
30.0,5.85,222.0,1134.0,10.0,0,0,0,0,0,1,0,0,0,0
9.0,12.5,287.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
18.0,14.0,592.0,592.0,25.0,1,0,0,0,0,0,0,0,0,0
4.0,7.5,490.0,490.0,45.0,0,0,0,1,0,0,0,0,0,0
4.0,7.5,490.0,490.0,45.0,0,0,0,0,0,1,0,0,0,0
6.0,19.5,592.0,592.0,25.0,0,0,1,0,0,0,0,0,0,0
