scoring_metric,model,r2,mse,mae,rmse
r2,geral,0.6231866855171013,115.40676930789908,2.6671211745244006,10.742754270106856
r2,G4,0.5179676047173647,8.611237342301326,1.359844536423841,2.9344909852138454
r2,F7,0.8584925562701222,29.749236983019284,2.855922403560831,5.4542861112174235
r2,M5,0.6446523957139775,12.058344114545804,2.2295992069579693,3.4725126514594304
neg_mean_squared_error,geral,0.644205870039906,108.96921499113523,2.641259263854425,10.43883207026223
neg_mean_squared_error,G4,0.5049421461676491,8.843929825548518,1.3842983824404709,2.973874547715239
neg_mean_squared_error,F7,0.8625455335545891,28.897175928531155,2.8189510385756678,5.3756093541598755
neg_mean_squared_error,M5,0.6455551766076764,12.02770920229381,2.1296365979381444,3.4680987878510336
neg_mean_absolute_error,geral,0.6501192035654155,107.15813589230974,2.6502648883374693,10.351721397541075
neg_mean_absolute_error,G4,0.4791936573039923,9.303912081887418,1.3924291390728476,3.050231480049902
neg_mean_absolute_error,F7,0.8478293715575617,31.990967881735905,2.8805332344213648,5.65605585914212
neg_mean_absolute_error,M5,0.6642146420340558,11.394520030927833,2.0911649484536077,3.3755769922974403
neg_root_mean_squared_error,geral,0.6419655635717112,109.65535457754754,2.639979900744417,10.471645266028998
neg_root_mean_squared_error,G4,0.5341466278368145,8.322208203572021,1.334505380794702,2.884823773399689
neg_root_mean_squared_error,F7,0.793860149897046,43.33696582112759,3.1395988130563794,6.583081787516208
neg_root_mean_squared_error,M5,0.6486582663607872,11.922409142268041,2.1259938144329897,3.4528841773607235
