scoring_metric,model,r2,mse,mae,rmse
r2,geral,0.7112399467488728,88.43866065778818,2.699188573127151,1.6429207446274305
r2,G4,0.221734909320481,13.903267657227572,1.5626281477361592,1.2500512580435088
r2,F7,0.8573535471448788,29.9886918943621,2.9135931528001255,1.7069250577574064
r2,M5,0.5156776197508444,16.43496636245633,2.4290577309961785,1.5585434645835767
neg_mean_squared_error,geral,0.6351958565361195,111.72871554466396,3.010368690233847,1.7350414087951467
neg_mean_squared_error,G4,0.22409131762707712,13.86117174956234,1.5465407233629644,1.2435999048580555
neg_mean_squared_error,F7,0.8714175761670728,27.031998442136498,2.7482344213649856,1.6577799677173644
neg_mean_squared_error,M5,0.44984736313383356,18.668846309478095,2.4702347069411954,1.5716980330016308
neg_mean_absolute_error,geral,0.7071598129991045,89.68828490488006,2.611248966087676,1.6159359412079664
neg_mean_absolute_error,G4,0.13094799808089952,15.525124710631808,1.589768185770237,1.2608600976199686
neg_mean_absolute_error,F7,0.8845591163226837,24.26924065281899,2.696379821958457,1.6420657179170561
neg_mean_absolute_error,M5,0.5336682561198558,15.82447319587629,2.298762886597938,1.5161671697401768
neg_root_mean_squared_error,geral,-0.9510694758862377,597.5548534326158,3.5335407447859435,1.8797714607861093
neg_root_mean_squared_error,G4,-0.15029194864477557,20.549318011936702,1.5817714285182694,1.2576849480367767
neg_root_mean_squared_error,F7,0.8701087143050156,27.30716164688427,2.742893175074184,1.656168220644927
neg_root_mean_squared_error,M5,0.5502436674028596,15.262004191780498,2.3589718203432577,1.5358944691427396
