scoring_metric,model,r2,mse,mae,rmse
r2,geral,-0.9091856319145468,584.7270712572373,3.2887427626137304,24.181130479306326
r2,G4,-0.05311517617960426,18.81330968543046,1.493344370860927,4.3374312312047625
r2,F7,0.7654950325331488,49.30018991922191,2.8707467853610287,7.02140939692466
r2,M5,0.18272916556217855,27.733219072164946,2.7397938144329896,5.266233860375453
neg_mean_squared_error,geral,0.7298882207645732,82.7272460803235,2.7556465398400882,9.095451944808651
neg_mean_squared_error,G4,0.3766879868554137,11.1351181705298,1.5157533112582782,3.3369324492008827
neg_mean_squared_error,F7,0.758007700460519,50.874258465215966,3.040509396636993,7.132619327092675
neg_mean_squared_error,M5,-0.7322498179734331,58.78206056701031,3.630567010309278,7.666945973920145
neg_mean_absolute_error,geral,0.7453222374248607,78.0002634293723,2.612912875654811,8.831775780066673
neg_mean_absolute_error,G4,0.38797031279815974,10.93356576986755,1.4056208609271523,3.3065942856461166
neg_mean_absolute_error,F7,0.6456747214839267,74.49012152159578,3.0204203758654797,8.630765986955954
neg_mean_absolute_error,M5,-0.5559887408480233,52.80082783505155,3.0955670103092783,7.266417813135407
neg_root_mean_squared_error,geral,-0.8997979128772493,581.8518906741109,3.2909553349875935,24.12160630377071
neg_root_mean_squared_error,G4,0.5018663025534658,8.898878039919058,1.3123040838852098,2.9830987311718427
neg_root_mean_squared_error,F7,0.7750756109521841,47.28605631388065,2.82455984174085,6.876485753194044
neg_root_mean_squared_error,M5,0.015513794522969304,33.40749536082475,2.825463917525773,5.7799217434862165
